program_id	GO_BP	synGO	LoF
80	GOBP_CYTOPLASMIC_TRANSLATION (1.26e-54) | GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (9.02e-44) | GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (9.44e-40) | GOBP_MYOBLAST_FUSION (3.27e-34) | GOBP_SYNCYTIUM_FORMATION (1.82e-32)	translation at postsynapse (GO:0140242) (1.99e-48) | postsynaptic ribosome (1.20e-47) | presynaptic ribosome (1.20e-47) | translation at presynapse (GO:0140236) (1.20e-47) | synapse (GO:0045202) (9.39e-19)	DDX3X (2.21); RB1CC1 (1.58); TCF4 (2.41)
81	 ()	 ()	ASH1L (4.80); SP4 (2.52)
82	 ()	 ()	AKAP11 (-2.42); ANKRD11 (-2.43); ARID1B (-2.07); ASH1L (-2.43); CACNA1G (-2.18); CHD8 (-2.50); CUL1 (-2.25); DLL1 (-2.18); GRIA3 (-2.25); GRIN2A (-2.42); HCN4 (-2.42); KDM6B (-2.43); KMT2C (-2.21); SCN2A (-2.43); SETD1A (-2.28); SHANK3 (-2.06); SP4 (-2.43); XPO7 (-2.43)
83	 ()	 ()	BRSK2 (2.12); SP4 (5.01)
84	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS (3.85e-02) | GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION (4.54e-02)	presynaptic membrane (GO:0042734) (4.78e-02) | postsynaptic membrane (GO:0045211) (8.46e-02)	AKAP11 (2.17); SHANK3 (1.46)
86	GOBP_CYTOPLASMIC_TRANSLATION (1.17e-08) | GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY (1.17e-08) | GOBP_U2_TYPE_PRESPLICEOSOME_ASSEMBLY (1.31e-07) | GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS (1.43e-07) | GOBP_CD8_POSITIVE_ALPHA_BETA_T_CELL_HOMEOSTASIS (5.50e-07)	postsynaptic ribosome (3.27e-10) | presynaptic ribosome (3.27e-10) | translation at presynapse (GO:0140236) (3.27e-10) | translation at postsynapse (GO:0140242) (3.27e-10) | protein catabolic process at presynapse (GO:0140247) (2.67e-05)	NF1 (-1.62); SCN2A (1.85)
87	 ()	postsynapse (GO:0098794) (1.42e-02) | postsynaptic ribosome (1.80e-01) | presynaptic ribosome (1.80e-01) | translation at presynapse (GO:0140236) (1.80e-01) | translation at postsynapse (GO:0140242) (1.80e-01)	CUL3 (2.90)
89	 ()	synaptic vesicle endocytosis (GO:0048488) (6.73e-02) | presynaptic endosome (GO:0098830) (1.26e-01) | postsynaptic endosome (GO:0098845) (1.26e-01) | presynapse (GO:0098793) (1.27e-01)	SHANK3 (4.85)
90	GOBP_CYTOPLASMIC_TRANSLATION (5.21e-05) | GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (6.61e-05) | GOBP_OXIDATIVE_PHOSPHORYLATION (9.96e-05) | GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (1.96e-04) | GOBP_TRANSLATION (3.71e-04)	postsynaptic ribosome (4.34e-05) | presynaptic ribosome (4.34e-05) | translation at presynapse (GO:0140236) (4.34e-05) | translation at postsynapse (GO:0140242) (4.34e-05) | synapse (GO:0045202) (6.04e-03)	KCNMA1 (1.68); SMARCC2 (-1.63)
91	GOBP_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION (1.06e-01) | GOBP_NUCLEUS_LOCALIZATION (1.06e-01)	anterograde dendritic transport of neurotransmitter receptor complex (GO:0098971) (1.44e-01)	RB1CC1 (4.10)
