program_id	GO_BP	synGO	LoF
2	GOBP_OXIDATIVE_PHOSPHORYLATION (9.26e-36) | GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (1.02e-32) | GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT (1.40e-32) | GOBP_ELECTRON_TRANSPORT_CHAIN (5.66e-30) | GOBP_ATP_BIOSYNTHETIC_PROCESS (1.57e-29)	postsynaptic proteasome (2.83e-12) | presynaptic proteasome (2.83e-12) | protein catabolic process at presynapse (GO:0140247) (1.35e-11) | protein catabolic process at postsynapse (GO:0140249) (2.75e-11) | postsynaptic ribosome (3.32e-03)	POGZ (-1.02); SNAP25 (-1.21); VEZF1 (-0.90)
3	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION (9.78e-04) | GOBP_NITROGEN_COMPOUND_TRANSPORT (6.57e-03) | GOBP_PROTEIN_TRANSPORT (6.57e-03) | GOBP_INTRACELLULAR_TRANSPORT (1.11e-02) | GOBP_MAINTENANCE_OF_SYNAPSE_STRUCTURE (1.13e-02)	structural constituent of postsynaptic density (GO:0098919) (2.47e-03) | structural constituent of active zone (GO:0098882) (5.87e-02) | postsynaptic density (GO:0014069) (1.90e-01)	MEIS2 (0.84); WAC (0.93); ZNF823 (1.14)
4	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (2.67e-06) | GOBP_PROTON_TRANSMEMBRANE_TRANSPORT (1.13e-05) | GOBP_ATP_BIOSYNTHETIC_PROCESS (3.89e-05) | GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS (5.21e-05) | GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE (3.37e-04)	synaptic vesicle proton loading (GO:0097401) (9.66e-03) | postsynaptic proteasome (3.46e-02) | presynaptic proteasome (3.46e-02) | protein catabolic process at presynapse (GO:0140247) (1.32e-01) | protein catabolic process at postsynapse (GO:0140249) (1.42e-01)	CHD8 (1.05); TRIO (0.65)
5	GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (8.68e-10) | GOBP_CYTOPLASMIC_TRANSLATION (8.68e-10) | GOBP_OXIDATIVE_PHOSPHORYLATION (1.53e-09) | GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (3.64e-09) | GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (2.71e-08)	postsynaptic ribosome (3.57e-12) | presynaptic ribosome (3.57e-12) | translation at presynapse (GO:0140236) (3.57e-12) | translation at postsynapse (GO:0140242) (3.57e-12) | synapse (GO:0045202) (3.64e-06)	AUTS2 (-1.11); CUL3 (-0.95); KMT2A (-1.10); NF1 (-1.60); NIPBL (-1.63); PHF21A (-1.52); PTEN (-1.37); RFX3 (-1.48); SCN1A (-0.96)
6	GOBP_TRANSLATION (7.62e-09) | GOBP_CYTOPLASMIC_TRANSLATION (3.10e-06) | GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (9.60e-05) | GOBP_MITOCHONDRIAL_TRANSLATION (1.42e-04) | GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS (2.10e-04)	postsynaptic ribosome (1.19e-06) | presynaptic ribosome (1.19e-06) | translation at presynapse (GO:0140236) (1.19e-06) | translation at postsynapse (GO:0140242) (1.19e-06) | synapse (GO:0045202) (2.27e-04)	DDX3X (1.57)
7	GOBP_PROTEASOMAL_UBIQUITIN_INDEPENDENT_PROTEIN_CATABOLIC_PROCESS (3.37e-08) | GOBP_CD8_POSITIVE_ALPHA_BETA_T_CELL_HOMEOSTASIS (3.37e-08) | GOBP_OXIDATIVE_PHOSPHORYLATION (5.46e-08) | GOBP_NEGATIVE_REGULATION_OF_REGULATORY_T_CELL_DIFFERENTIATION (1.30e-07) | GOBP_CD8_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION (1.27e-06)	postsynaptic proteasome (5.57e-09) | presynaptic proteasome (5.57e-09) | protein catabolic process at presynapse (GO:0140247) (2.87e-07) | protein catabolic process at postsynapse (GO:0140249) (4.84e-07) | postsynaptic cytosol (GO:0099524) (5.75e-02)	CUL3 (-1.48); DSCAM (-1.18); DYRK1A (-1.04); KMT2A (-1.35); NIPBL (-1.16); PHF21A (-1.46); RFX3 (-1.37); SATB2 (-1.21); TLK2 (-1.37)
8	GOBP_CYTOPLASMIC_TRANSLATION (3.97e-12) | GOBP_TRANSLATION (2.68e-10) | GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (4.99e-10) | GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT (4.76e-09) | GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (4.76e-09)	postsynaptic ribosome (4.75e-10) | presynaptic ribosome (4.75e-10) | translation at presynapse (GO:0140236) (4.75e-10) | translation at postsynapse (GO:0140242) (4.75e-10) | postsynaptic proteasome (1.84e-05)	CEP128 (-0.93); DNMT3A (-0.81); MED13 (-0.91); POGZ (-0.97)
10	GOBP_PROTON_TRANSMEMBRANE_TRANSPORT (2.64e-05) | GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (1.63e-02) | GOBP_ATP_BIOSYNTHETIC_PROCESS (1.63e-02) | GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS (1.63e-02) | GOBP_CYTOPLASMIC_TRANSLATION (1.63e-02)	synapse (GO:0045202) (1.96e-01) | protein catabolic process at postsynapse (GO:0140249) (1.96e-01) | regulation of synaptic vesicle endocytosis (GO:1900242) (1.96e-01) | translation at postsynapse (GO:0140242) (1.96e-01) | postsynaptic proteasome (1.96e-01)	CHD8 (1.02); DLL1 (1.17)
12	GOBP_CYTOPLASMIC_TRANSLATION (1.96e-06) | GOBP_TRANSLATION (5.65e-05) | GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS (5.65e-05) | GOBP_NEGATIVE_REGULATION_OF_RNA_SPLICING (1.96e-04) | GOBP_OXIDATIVE_PHOSPHORYLATION (7.46e-04)	postsynaptic ribosome (7.57e-08) | presynaptic ribosome (7.57e-08) | translation at presynapse (GO:0140236) (7.57e-08) | translation at postsynapse (GO:0140242) (7.57e-08) | synapse (GO:0045202) (2.79e-05)	KCNQ3 (-1.21)
13	 ()	 ()	CACNA1G (-1.53); GABRA1 (2.39)
14	GOBP_OXIDATIVE_PHOSPHORYLATION (1.19e-44) | GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (1.06e-37) | GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT (1.57e-35) | GOBP_ATP_BIOSYNTHETIC_PROCESS (8.84e-34) | GOBP_CELLULAR_RESPIRATION (8.84e-34)	postsynaptic proteasome (2.09e-04) | presynaptic proteasome (2.09e-04) | protein catabolic process at presynapse (GO:0140247) (1.13e-03) | protein catabolic process at postsynapse (GO:0140249) (1.13e-03) | translation at postsynapse (GO:0140242) (1.13e-03)	SNAP25 (1.95); TRIO (1.58)
18	GOBP_CYTOPLASMIC_TRANSLATION (4.44e-49) | GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (1.43e-36) | GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (2.26e-33) | GOBP_MYOBLAST_FUSION (8.43e-29) | GOBP_SYNCYTIUM_FORMATION (2.74e-27)	postsynaptic ribosome (4.47e-49) | presynaptic ribosome (4.47e-49) | translation at presynapse (GO:0140236) (4.47e-49) | translation at postsynapse (GO:0140242) (7.50e-49) | synapse (GO:0045202) (6.19e-17)	CACNA1G (3.69)
19	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (3.67e-09) | GOBP_OXIDATIVE_PHOSPHORYLATION (9.43e-09) | GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS (2.71e-08) | GOBP_ATP_BIOSYNTHETIC_PROCESS (8.93e-08) | GOBP_CELLULAR_RESPIRATION (3.06e-06)	postsynaptic proteasome (5.21e-02) | presynaptic proteasome (5.21e-02) | regulation of translation at postsynapse, modulating synaptic transmission (GO:0099578) (5.21e-02) | protein catabolic process at presynapse (GO:0140247) (1.24e-01) | protein catabolic process at postsynapse (GO:0140249) (1.29e-01)	ANKRD11 (2.31); MED13 (1.97)
20	GOBP_OXIDATIVE_PHOSPHORYLATION (3.09e-16) | GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT (2.01e-15) | GOBP_ELECTRON_TRANSPORT_CHAIN (2.98e-13) | GOBP_CELLULAR_RESPIRATION (1.54e-11) | GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (5.27e-11)	postsynaptic cytosol (GO:0099524) (1.71e-03) | regulation of synaptic vesicle endocytosis (GO:1900242) (1.86e-02) | presynaptic endocytosis (GO:0140238) (4.74e-02) | structural constituent of postsynaptic actin cytoskeleton (GO:0098973) (4.74e-02) | postsynaptic actin cytoskeleton (GO:0098871) (4.74e-02)	KMT2C (1.98); MED13 (1.84)
21	 ()	 ()	TRIO (4.42)
23	GOBP_OXIDATIVE_PHOSPHORYLATION (1.23e-23) | GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (2.48e-23) | GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT (6.84e-21) | GOBP_ELECTRON_TRANSPORT_CHAIN (1.02e-20) | GOBP_ATP_BIOSYNTHETIC_PROCESS (6.60e-20)	postsynaptic ribosome (1.21e-22) | presynaptic ribosome (1.21e-22) | translation at presynapse (GO:0140236) (1.21e-22) | translation at postsynapse (GO:0140242) (1.28e-22) | synapse (GO:0045202) (2.15e-13)	CUL1 (2.67)
24	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (3.60e-15) | GOBP_OXIDATIVE_PHOSPHORYLATION (1.23e-14) | GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT (1.07e-13) | GOBP_ATP_BIOSYNTHETIC_PROCESS (6.43e-13) | GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS (3.71e-12)	postsynaptic proteasome (1.29e-05) | presynaptic proteasome (1.29e-05) | protein catabolic process at presynapse (GO:0140247) (2.58e-04) | protein catabolic process at postsynapse (GO:0140249) (3.63e-04) | postsynaptic endosome (GO:0098845) (1.27e-01)	PHF21A (3.87); RFX3 (1.87)
25	GOBP_OXIDATIVE_PHOSPHORYLATION (4.98e-13) | GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT (6.42e-11) | GOBP_ELECTRON_TRANSPORT_CHAIN (2.93e-10) | GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (4.13e-09) | GOBP_CELLULAR_RESPIRATION (4.55e-09)	postsynaptic ribosome (1.81e-03) | presynaptic ribosome (1.81e-03) | translation at presynapse (GO:0140236) (1.81e-03) | translation at postsynapse (GO:0140242) (1.81e-03) | presynaptic endocytosis (GO:0140238) (1.24e-02)	DLL1 (2.41)
26	GOBP_OXIDATIVE_PHOSPHORYLATION (1.59e-18) | GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT (5.58e-18) | GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE (9.98e-17) | GOBP_PROTON_TRANSMEMBRANE_TRANSPORT (2.03e-16) | GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (2.64e-16)	postsynaptic proteasome (1.66e-02) | presynaptic proteasome (1.66e-02) | protein catabolic process at presynapse (GO:0140247) (1.66e-02) | protein catabolic process at postsynapse (GO:0140249) (1.90e-02) | structural constituent of postsynaptic density (GO:0098919) (1.00e-01)	SNAP25 (-1.43)
27	GOBP_OXIDATIVE_PHOSPHORYLATION (3.60e-18) | GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (4.50e-17) | GOBP_ATP_BIOSYNTHETIC_PROCESS (8.98e-17) | GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS (9.61e-16) | GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT (2.16e-15)	postsynaptic ribosome (1.39e-09) | presynaptic ribosome (1.39e-09) | translation at presynapse (GO:0140236) (1.39e-09) | translation at postsynapse (GO:0140242) (1.39e-09) | postsynaptic proteasome (8.09e-07)	TCF4 (1.50)
28	GOBP_MULTI_PASS_TRANSMEMBRANE_PROTEIN_INSERTION_INTO_ER_MEMBRANE (1.81e-02) | GOBP_TRANSLATIONAL_INITIATION (2.36e-02) | GOBP_TRANSLATION (2.36e-02) | GOBP_CELL_REDOX_HOMEOSTASIS (2.68e-02) | GOBP_CYTOPLASMIC_TRANSLATION (4.10e-02)	protein catabolic process at postsynapse (GO:0140249) (6.59e-02) | protein catabolic process at presynapse (GO:0140247) (6.59e-02) | postsynaptic proteasome (6.59e-02) | presynaptic proteasome (6.59e-02) | synapse (GO:0045202) (6.59e-02)	DNMT3A (1.19); KMT2A (1.02); PTEN (1.31)
31	GOBP_OXIDATIVE_PHOSPHORYLATION (3.04e-24) | GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT (5.27e-23) | GOBP_ELECTRON_TRANSPORT_CHAIN (5.47e-20) | GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (5.47e-20) | GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS (9.58e-17)	synapse (GO:0045202) (7.76e-03) | postsynaptic ribosome (7.76e-03) | presynaptic ribosome (7.76e-03) | translation at presynapse (GO:0140236) (7.76e-03) | translation at postsynapse (GO:0140242) (7.76e-03)	PHF21A (1.58)
33	GOBP_CYTOPLASMIC_TRANSLATION (6.05e-19) | GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS (5.76e-13) | GOBP_RIBOSOME_BIOGENESIS (1.12e-09) | GOBP_TRANSLATION (1.27e-09) | GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS (2.60e-09)	translation at postsynapse (GO:0140242) (2.98e-23) | postsynaptic ribosome (1.20e-22) | presynaptic ribosome (1.20e-22) | translation at presynapse (GO:0140236) (1.20e-22) | synapse (GO:0045202) (1.04e-09)	SNAP25 (-1.61)
34	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (1.88e-02) | GOBP_TRANSLATION (3.53e-02) | GOBP_CD8_POSITIVE_ALPHA_BETA_T_CELL_HOMEOSTASIS (3.53e-02) | GOBP_MRNA_METABOLIC_PROCESS (3.53e-02) | GOBP_ATP_BIOSYNTHETIC_PROCESS (3.55e-02)	postsynaptic proteasome (3.67e-02) | presynaptic proteasome (3.67e-02) | protein catabolic process at presynapse (GO:0140247) (9.91e-02) | protein catabolic process at postsynapse (GO:0140249) (9.91e-02) | regulation of postsynapse organization (GO:0099175) (1.99e-01)	AKAP11 (2.06); GRIA3 (1.45); POGZ (1.91)
35	GOBP_CYTOPLASMIC_TRANSLATION (4.30e-49) | GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (5.44e-42) | GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (3.43e-38) | GOBP_MYOBLAST_FUSION (6.66e-33) | GOBP_SYNCYTIUM_FORMATION (3.63e-31)	translation at postsynapse (GO:0140242) (1.38e-44) | postsynaptic ribosome (8.09e-44) | presynaptic ribosome (8.09e-44) | translation at presynapse (GO:0140236) (8.09e-44) | synapse (GO:0045202) (4.28e-18)	GRIA3 (2.88); NF1 (2.17); PTEN (1.61)
36	GOBP_OXIDATIVE_PHOSPHORYLATION (7.69e-54) | GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT (1.07e-44) | GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (4.04e-44) | GOBP_CELLULAR_RESPIRATION (9.24e-41) | GOBP_ELECTRON_TRANSPORT_CHAIN (1.22e-39)	postsynaptic proteasome (3.04e-12) | presynaptic proteasome (3.04e-12) | protein catabolic process at presynapse (GO:0140247) (1.45e-11) | protein catabolic process at postsynapse (GO:0140249) (2.95e-11)	CACNA1G (2.98)
37	 ()	 ()	MBD5 (4.55)
39	GOBP_CYTOPLASMIC_TRANSLATION (3.00e-57) | GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (4.80e-43) | GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (3.06e-39) | GOBP_TRANSLATION (3.19e-35) | GOBP_MYOBLAST_FUSION (4.85e-34)	postsynaptic ribosome (4.87e-71) | presynaptic ribosome (4.87e-71) | translation at presynapse (GO:0140236) (4.87e-71) | translation at postsynapse (GO:0140242) (9.79e-71) | synapse (GO:0045202) (4.11e-31)	CHD8 (6.00)
40	GOBP_CYTOPLASMIC_TRANSLATION (8.70e-44) | GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (3.72e-36) | GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (5.86e-33) | GOBP_MYOBLAST_FUSION (2.17e-28) | GOBP_SYNCYTIUM_FORMATION (7.01e-27)	translation at postsynapse (GO:0140242) (3.49e-52) | postsynaptic ribosome (4.21e-51) | presynaptic ribosome (4.21e-51) | translation at presynapse (GO:0140236) (4.21e-51) | synapse (GO:0045202) (5.95e-21)	GABRA1 (3.69)
41	GOBP_CYTOPLASMIC_TRANSLATION (5.42e-39) | GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (7.79e-37) | GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (1.24e-33) | GOBP_MYOBLAST_FUSION (4.65e-29) | GOBP_SYNCYTIUM_FORMATION (1.51e-27)	postsynaptic ribosome (1.18e-46) | presynaptic ribosome (1.18e-46) | translation at presynapse (GO:0140236) (1.18e-46) | translation at postsynapse (GO:0140242) (1.67e-46) | synapse (GO:0045202) (1.23e-17)	DNMT3A (5.18)
42	GOBP_CYTOPLASMIC_TRANSLATION (5.86e-28) | GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (5.86e-28) | GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (1.86e-25) | GOBP_MYOBLAST_FUSION (9.01e-22) | GOBP_SYNCYTIUM_FORMATION (1.50e-20)	postsynaptic ribosome (1.38e-29) | presynaptic ribosome (1.38e-29) | translation at presynapse (GO:0140236) (1.38e-29) | translation at postsynapse (GO:0140242) (1.68e-29) | synapse (GO:0045202) (1.79e-15)	ANKRD11 (1.98); ARID1B (1.42); ASH1L (1.44); CUL1 (1.15); KMT2C (1.57); XPO7 (1.33)
43	 ()	 ()	DLL1 (4.28)
44	 ()	 ()	ANK2 (6.33)
45	GOBP_CYTOPLASMIC_TRANSLATION (1.56e-16) | GOBP_TRANSLATION (1.55e-08) | GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (2.05e-07) | GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (1.47e-06) | GOBP_CD8_POSITIVE_ALPHA_BETA_T_CELL_HOMEOSTASIS (2.79e-05)	postsynaptic ribosome (8.65e-16) | presynaptic ribosome (8.65e-16) | translation at presynapse (GO:0140236) (8.65e-16) | translation at postsynapse (GO:0140242) (8.80e-16) | synapse (GO:0045202) (5.66e-06)	KDM6B (3.35); NAA15 (1.96)
46	GOBP_CYTOPLASMIC_TRANSLATION (6.17e-21) | GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (2.96e-17) | GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (1.27e-15) | GOBP_MYOBLAST_FUSION (4.13e-13) | GOBP_TRANSLATION (1.06e-12)	postsynaptic ribosome (6.52e-18) | presynaptic ribosome (6.52e-18) | translation at presynapse (GO:0140236) (6.52e-18) | translation at postsynapse (GO:0140242) (7.04e-18) | synapse (GO:0045202) (1.21e-06)	NR3C2 (1.63); SMARCC2 (1.49)
47	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (2.01e-12) | GOBP_CELLULAR_RESPIRATION (3.56e-12) | GOBP_ATP_BIOSYNTHETIC_PROCESS (1.40e-11) | GOBP_OXIDATIVE_PHOSPHORYLATION (1.55e-11) | GOBP_ATP_METABOLIC_PROCESS (8.32e-11)	postsynaptic proteasome (2.88e-03) | presynaptic proteasome (2.88e-03) | protein catabolic process at presynapse (GO:0140247) (3.55e-03) | protein catabolic process at postsynapse (GO:0140249) (4.35e-03) | postsynaptic ribosome (7.08e-02)	CACNA1C (1.39); FOXN2 (1.80); KMT2A (1.36); NF1 (2.53); PTEN (2.57)
49	GOBP_OXIDATIVE_PHOSPHORYLATION (1.64e-22) | GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (2.17e-20) | GOBP_ATP_BIOSYNTHETIC_PROCESS (3.90e-17) | GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT (5.73e-17) | GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS (5.31e-15)	translation at postsynapse (GO:0140242) (9.59e-02) | postsynaptic ribosome (9.59e-02) | presynaptic ribosome (9.59e-02) | translation at presynapse (GO:0140236) (9.59e-02) | regulation of postsynaptic density assembly (GO:0099151) (9.59e-02)	POGZ (2.34)
50	GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (1.18e-01) | GOBP_PROTEASOMAL_UBIQUITIN_INDEPENDENT_PROTEIN_CATABOLIC_PROCESS (1.18e-01) | GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (1.18e-01) | GOBP_RRNA_MODIFICATION (1.18e-01) | GOBP_SYNCYTIUM_FORMATION (1.18e-01)	postsynaptic proteasome (3.93e-02) | presynaptic proteasome (3.93e-02) | synaptic vesicle proton loading (GO:0097401) (3.93e-02) | protein catabolic process at presynapse (GO:0140247) (3.93e-02) | protein catabolic process at postsynapse (GO:0140249) (3.93e-02)	GABRA1 (3.48)
51	 ()	 ()	GRIA3 (4.60)
52	 ()	 ()	GRIA3 (5.70)
53	GOBP_OXIDATIVE_PHOSPHORYLATION (3.92e-18) | GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT (1.21e-17) | GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (8.70e-16) | GOBP_ELECTRON_TRANSPORT_CHAIN (2.57e-15) | GOBP_ATP_BIOSYNTHETIC_PROCESS (3.76e-13)	 ()	RB1CC1 (3.02); SHANK3 (1.39); TLK2 (3.22)
54	 ()	 ()	KDM6B (3.75); MED13L (3.51)
55	GOBP_OXIDATIVE_PHOSPHORYLATION (4.92e-09) | GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT (7.38e-09) | GOBP_ELECTRON_TRANSPORT_CHAIN (2.24e-07) | GOBP_CELLULAR_RESPIRATION (1.27e-05) | GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY (1.30e-04)	 ()	CTCF (1.66); GRIN2A (1.49); PTEN (4.87); TSC1 (2.56)
56	GOBP_OXIDATIVE_PHOSPHORYLATION (4.32e-18) | GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT (1.34e-17) | GOBP_ELECTRON_TRANSPORT_CHAIN (2.18e-16) | GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (4.04e-13) | GOBP_CELLULAR_RESPIRATION (9.90e-13)	postsynaptic density (GO:0014069) (3.22e-02) | postsynaptic ribosome (5.75e-02) | presynaptic ribosome (5.75e-02) | translation at presynapse (GO:0140236) (5.75e-02) | translation at postsynapse (GO:0140242) (5.75e-02)	ADGRA1 (-1.56)
57	GOBP_OXIDATIVE_PHOSPHORYLATION (1.99e-41) | GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (1.17e-37) | GOBP_CYTOPLASMIC_TRANSLATION (9.26e-34) | GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT (2.38e-32) | GOBP_ATP_BIOSYNTHETIC_PROCESS (2.94e-32)	postsynaptic ribosome (1.72e-38) | presynaptic ribosome (1.72e-38) | translation at presynapse (GO:0140236) (1.72e-38) | translation at postsynapse (GO:0140242) (2.31e-38) | synapse (GO:0045202) (3.26e-16)	RFX3 (1.61); SP4 (1.47)
58	GOBP_CYTOPLASMIC_TRANSLATION (2.76e-03) | GOBP_TRANSLATION (3.99e-03) | GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (1.37e-02) | GOBP_CELLULAR_RESPIRATION (1.94e-02) | GOBP_REGULATION_OF_PROTEOLYSIS (1.94e-02)	structural constituent of postsynaptic density (GO:0098919) (6.84e-02) | regulation of calcium-dependent activation of synaptic vesicle fusion (GO:0150037) (6.84e-02) | regulation of presynaptic cytosolic calcium levels (GO:0099509) (6.84e-02) | structural constituent of active zone (GO:0098882) (6.84e-02) | regulation of modification of postsynaptic structure (GO:0099159) (1.15e-01)	DDX3X (2.34); MAGI2 (2.21); SNAP25 (2.05); TLK2 (2.59)
59	GOBP_TRANSLATION (3.23e-03) | GOBP_EMBRYONIC_BRAIN_DEVELOPMENT (1.05e-01)	postsynaptic ribosome (6.09e-03) | presynaptic ribosome (6.09e-03) | translation at presynapse (GO:0140236) (6.09e-03) | translation at postsynapse (GO:0140242) (6.09e-03) | neurotransmitter uptake (GO:0001504) (2.50e-02)	CHD8 (6.36)
60	 ()	 ()	KMT2C (3.84); SMARCC2 (1.76)
61	 ()	 ()	ARID1B (4.67)
